name^|^time_period_cd^|^status_cnt_per_period^|^contactlist_id
Notreached^|^854^|^841^|^2345
Reached^|^855^|^842^|^2345
Booked^|^856^|^843^|^2345
Reached^|^857^|^844^|^2345
Booked^|^858^|^845^|^2345
Sold^|^859^|^846^|^2345
Sold^|^860^|^847^|^2345
Booked^|^861^|^848^|^2345
Sold^|^862^|^849^|^2345
Booked^|^863^|^850^|^2345
Reached^|^864^|^851^|^2345
Reached^|^865^|^852^|^2345
Booked^|^866^|^853^|^2345
Sold^|^867^|^854^|^2345
Reached^|^868^|^855^|^2345
Notreached^|^869^|^856^|^2345
Reached^|^870^|^857^|^2345
Sold^|^871^|^858^|^2345
Reached^|^872^|^859^|^2345
Notreached^|^873^|^860^|^2345
Reached^|^874^|^861^|^2345
Sold^|^875^|^862^|^2345
Notreached^|^876^|^863^|^2345
Reached^|^877^|^864^|^2345
Booked^|^878^|^865^|^2345
Sold^|^879^|^866^|^2345
Booked^|^880^|^867^|^2345
Reached^|^881^|^868^|^2345
Booked^|^882^|^869^|^2345
Reached^|^883^|^870^|^2345
Reached^|^884^|^871^|^2345
Notreached^|^885^|^872^|^2345
Reached^|^886^|^873^|^2345
Reached^|^887^|^874^|^2345
Reached^|^888^|^875^|^2345
Reached^|^889^|^876^|^2345
Booked^|^890^|^877^|^2345
Reached^|^891^|^878^|^2345
Reached^|^892^|^879^|^2345
Booked^|^893^|^880^|^2345
Reached^|^894^|^881^|^2345
Sold^|^895^|^882^|^2345
Booked^|^896^|^883^|^2345
Booked^|^897^|^884^|^2345
Sold^|^898^|^885^|^2345
Booked^|^899^|^886^|^2345
Booked^|^900^|^887^|^2345
Notreached^|^901^|^888^|^2345
Sold^|^902^|^889^|^2345
Reached^|^903^|^890^|^2345
Booked^|^904^|^891^|^2345
Reached^|^905^|^892^|^2345
Booked^|^906^|^893^|^2345
Sold^|^907^|^894^|^2345
Booked^|^908^|^895^|^2345
Booked^|^909^|^896^|^2345
Booked^|^910^|^897^|^2345
Notreached^|^911^|^898^|^2345
Reached^|^912^|^899^|^2345
Booked^|^913^|^900^|^2345
Reached^|^914^|^901^|^2345
Sold^|^915^|^902^|^2345
Booked^|^916^|^903^|^2345
Sold^|^917^|^904^|^2345
Notreached^|^918^|^905^|^2345
Reached^|^919^|^906^|^2345
Notreached^|^920^|^907^|^2345
Notreached^|^921^|^908^|^2345
Notreached^|^922^|^909^|^2345
Sold^|^923^|^910^|^2345
Sold^|^924^|^911^|^2345
Notreached^|^925^|^912^|^2345
Reached^|^926^|^913^|^2345
Booked^|^927^|^914^|^2345
Sold^|^928^|^915^|^2345
Notreached^|^929^|^916^|^2345
Booked^|^930^|^917^|^2345
Reached^|^931^|^918^|^2345
Reached^|^932^|^919^|^2345
Reached^|^933^|^920^|^2345
Sold^|^934^|^921^|^2345
Booked^|^935^|^922^|^2345
Booked^|^936^|^923^|^2345
Reached^|^937^|^924^|^2345
Reached^|^938^|^925^|^2345
Reached^|^939^|^926^|^2345
Sold^|^940^|^927^|^2345
Booked^|^941^|^928^|^2345
Booked^|^942^|^929^|^2345
Reached^|^943^|^930^|^2345
Sold^|^944^|^931^|^2345
Sold^|^945^|^932^|^2345
Sold^|^946^|^933^|^2345
Notreached^|^947^|^934^|^2345
Notreached^|^948^|^935^|^2345
Sold^|^949^|^936^|^2345
Sold^|^950^|^937^|^2345
Reached^|^951^|^938^|^2345
Booked^|^952^|^939^|^2345
Notreached^|^953^|^940^|^2345
Booked^|^954^|^941^|^2345
Sold^|^955^|^942^|^2345
Booked^|^956^|^943^|^2345
Reached^|^957^|^944^|^2345
Notreached^|^958^|^945^|^2345
Sold^|^959^|^946^|^2345
Booked^|^960^|^947^|^2345
Sold^|^961^|^948^|^2345
Booked^|^962^|^949^|^2345
Reached^|^963^|^950^|^2345
Notreached^|^964^|^951^|^2345
Sold^|^965^|^952^|^2345
Reached^|^966^|^953^|^2345
Booked^|^967^|^954^|^2345
Sold^|^968^|^955^|^2345
Booked^|^969^|^956^|^2345
Reached^|^970^|^957^|^2345
Reached^|^971^|^958^|^2345
Notreached^|^972^|^959^|^2345
Notreached^|^973^|^960^|^2345
Booked^|^974^|^961^|^2345
Reached^|^975^|^962^|^2345
Sold^|^976^|^963^|^2345
Notreached^|^977^|^964^|^2345
Reached^|^978^|^965^|^2345
Booked^|^979^|^966^|^2345
Notreached^|^980^|^967^|^2345
Reached^|^981^|^968^|^2345
Sold^|^982^|^969^|^2345
Sold^|^983^|^970^|^2345
Sold^|^984^|^971^|^2345
Notreached^|^985^|^972^|^2345
Booked^|^986^|^973^|^2345
Booked^|^987^|^974^|^2345
Sold^|^988^|^975^|^2345
Booked^|^989^|^976^|^2345
Reached^|^990^|^977^|^2345
Notreached^|^991^|^978^|^2345
Sold^|^992^|^979^|^2345
Notreached^|^993^|^980^|^2345
Booked^|^994^|^981^|^2345
Notreached^|^995^|^982^|^2345
Booked^|^996^|^983^|^2345
Booked^|^997^|^984^|^2345
Sold^|^998^|^985^|^2345
Booked^|^999^|^986^|^2345
Sold^|^1000^|^987^|^2345
Reached^|^1001^|^988^|^2345
Notreached^|^1002^|^989^|^2345
Notreached^|^1003^|^990^|^2345
Sold^|^1004^|^991^|^2345
Booked^|^1005^|^992^|^2345
Booked^|^1006^|^993^|^2345
Notreached^|^1007^|^994^|^2345
Booked^|^1008^|^995^|^2345
Booked^|^1009^|^996^|^2345
Notreached^|^1010^|^997^|^2345
Reached^|^1011^|^998^|^2345
Sold^|^1012^|^999^|^2345
Reached^|^1013^|^1000^|^2345
Notreached^|^1014^|^1001^|^2345
Sold^|^1015^|^1002^|^2345
Booked^|^1016^|^1003^|^2345
Notreached^|^1017^|^1004^|^2345
Sold^|^1018^|^1005^|^2345
Reached^|^1019^|^1006^|^2345
Booked^|^1020^|^1007^|^2345
Booked^|^1021^|^1008^|^2345
Reached^|^1022^|^1009^|^2345
Booked^|^1023^|^1010^|^2345
Reached^|^1024^|^1011^|^2345
Notreached^|^1025^|^1012^|^2345
Reached^|^1026^|^1013^|^2345
Sold^|^1027^|^1014^|^2345
Sold^|^1028^|^1015^|^2345
Booked^|^1029^|^1016^|^2345
Notreached^|^1030^|^1017^|^2345
Booked^|^1031^|^1018^|^2345
Notreached^|^1032^|^1019^|^2345
Sold^|^1033^|^1020^|^2345
Notreached^|^1034^|^1021^|^2345
Reached^|^1035^|^1022^|^2345
Booked^|^1036^|^1023^|^2345
Sold^|^1037^|^1024^|^2345
Sold^|^1038^|^1025^|^2345
Notreached^|^1039^|^1026^|^2345
Sold^|^1040^|^1027^|^2345
Booked^|^1041^|^1028^|^2345
Sold^|^1042^|^1029^|^2345
Reached^|^1043^|^1030^|^2345
Sold^|^1044^|^1031^|^2345
Booked^|^1045^|^1032^|^2345
Sold^|^1046^|^1033^|^2345
